mjd,w1mag,w1sigm,w2mag,w2sigm,qual_frame,ra,dec,group
58748.23457773,7.955,0.007,6.928,0.007,10,85.6779003,-10.4193315,12
58900.40319294,8.178,0.007,6.929,0.007,10,85.6778844,-10.4193544,13
58900.53358719,8.321,0.009,7.202,0.022,10,85.6778529,-10.4193635,13
58900.66487266,8.239,0.007,7.062,0.008,10,85.677842,-10.4193483,13
58900.73032439,8.235,0.008,7.105,0.007,10,85.6778709,-10.4193279,13
58900.79564885,8.21,0.007,7.09,0.007,10,85.6778724,-10.4193445,13
58900.86110064,8.224,0.008,7.22,0.015,10,85.6778656,-10.4193458,13
58900.92642501,8.235,0.008,7.059,0.007,10,85.6778685,-10.4193552,13
58900.99187679,8.26,0.008,7.167,0.009,10,85.6778544,-10.41934,13
58901.05732858,8.168,0.008,6.979,0.007,10,85.6778467,-10.4193655,13
58901.122271,8.255,0.008,6.986,0.007,0,85.6777655,-10.4193191,13
58901.25355646,8.123,0.008,7.111,0.008,10,85.677866,-10.4193602,13
58901.38433266,8.181,0.007,7.118,0.007,10,85.6778495,-10.4193526,13
58901.51510881,8.234,0.007,6.983,0.007,5,85.677858,-10.4193565,13
59109.77842438,8.535,0.008,7.273,0.007,10,85.6778572,-10.4193365,14
59109.90920025,8.477,0.008,7.261,0.007,10,85.6778634,-10.4193315,14
59110.03997609,8.465,0.008,7.197,0.008,10,85.6778341,-10.4193229,14
59110.10530039,8.455,0.008,7.4,0.007,10,85.6778806,-10.4193074,14
59110.10542771,8.548,0.009,7.33,0.007,10,85.6778511,-10.4193187,14
59110.17075197,8.43,0.008,7.179,0.008,10,85.6778732,-10.4193153,14
59110.23620353,8.446,0.008,7.205,0.007,10,85.6778692,-10.4193432,14
59110.30152779,8.526,0.008,7.101,0.008,10,85.6778688,-10.4193256,14
59110.36697941,8.462,0.007,7.327,0.008,10,85.6778207,-10.4193358,14
59110.43230367,8.481,0.008,7.15,0.008,10,85.677869,-10.4193072,14
59110.49724588,8.426,0.008,7.231,0.023,10,85.6778475,-10.4193435,14
59110.6285316,8.399,0.032,7.15,0.007,10,85.6778491,-10.4193346,14
59110.75930737,8.48,0.008,7.491,0.02,10,85.6778421,-10.4193126,14
59110.89008325,8.353,0.016,7.302,0.009,5,85.677868,-10.4192899,14
59264.63589784,8.403,0.008,7.059,0.008,10,85.6778971,-10.4193377,15
59264.76667399,8.3,0.008,7.047,0.007,10,85.6778572,-10.4193519,15
59264.89745024,8.243,0.008,7.026,0.007,10,85.6778418,-10.4193321,15
59264.96277465,8.251,0.008,7.186,0.007,10,85.6778794,-10.4193482,15
59265.02822644,8.266,0.008,7.175,0.007,10,85.6778616,-10.4193434,15
59265.09355086,8.242,0.007,7.058,0.007,10,85.677881,-10.4193465,15
59265.15887532,8.295,0.008,7.263,0.009,10,85.6778761,-10.4193779,15
59265.22432711,8.507,0.009,7.254,0.01,10,85.6778333,-10.4193457,15
59265.28965148,8.286,0.008,7.255,0.007,10,85.6778571,-10.4193665,15
59265.35510322,8.389,0.009,7.211,0.008,10,85.6778553,-10.4193678,15
59265.48575215,8.216,0.008,7.086,0.007,10,85.677874,-10.4193344,15
59265.48587947,8.283,0.008,7.295,0.007,10,85.6778663,-10.4193515,15
59265.61652882,8.217,0.008,7.253,0.008,10,85.6778207,-10.4193726,15
59265.74730498,7.98,0.007,6.902,0.007,10,85.6778526,-10.4193439,15
59267.51195574,8.302,0.008,7.053,0.018,10,85.6778939,-10.4193348,15
59267.64273185,8.508,0.009,7.121,0.007,10,85.6778787,-10.4193626,15
59267.77350804,8.313,0.008,7.304,0.007,10,85.6778178,-10.4193611,15
59267.83883251,8.321,0.008,7.131,0.007,10,85.6778822,-10.419351,15
59267.90415689,8.294,0.008,7.104,0.011,0,85.6779068,-10.4193356,15
59267.90428429,8.325,0.022,7.199,0.007,10,85.6778568,-10.4193502,15
59267.96960867,8.312,0.009,7.264,0.008,10,85.6778819,-10.4193461,15
59268.03493314,8.397,0.008,7.107,0.009,10,85.6778717,-10.4193481,15
59268.16570929,8.342,0.008,7.245,0.007,10,85.6778402,-10.419325,15
59268.23103366,8.279,0.009,7.208,0.007,10,85.6778505,-10.4193719,15
59268.23116097,8.316,0.008,7.342,0.007,10,85.677849,-10.4193431,15
59268.36180981,8.352,0.007,7.142,0.007,10,85.6778536,-10.419341,15
59473.90147116,8.501,0.008,7.303,0.006,10,85.6778705,-10.4193239,16
59474.03211964,8.49,0.008,7.266,0.007,10,85.6778883,-10.4193254,16
59474.16289554,8.561,0.008,7.253,0.007,10,85.6778228,-10.4193216,16
59474.29354403,8.401,0.013,7.251,0.007,10,85.6778365,-10.4193125,16
59474.35886891,8.469,0.008,7.316,0.007,5,85.6778963,-10.4193293,16
59474.42419313,8.437,0.008,7.177,0.007,10,85.6778485,-10.4193234,16
59474.42432049,8.44,0.008,7.227,0.013,10,85.6778507,-10.4193153,16
59474.48964476,8.375,0.007,7.193,0.008,10,85.6778153,-10.4193343,16
59474.55496903,8.373,0.008,7.154,0.007,10,85.6778587,-10.4193096,16
59474.62029329,8.416,0.008,7.228,0.007,10,85.6778528,-10.4193291,16
59474.68561751,8.498,0.02,7.296,0.007,5,85.6778043,-10.4192919,16
59474.75106909,8.471,0.008,7.236,0.007,10,85.6778468,-10.4193289,16
59474.88171763,8.639,0.01,7.197,0.015,10,85.6778533,-10.4192939,16
59475.01249352,8.506,0.008,7.291,0.007,5,85.6778486,-10.4193243,16
