# MJD mag magerr filter flag distance ra dec
57843.47692 10.803  0.018 W1  5  1.3891 279.601615   0.544564
58938.69781 10.794  0.017 W1  0  1.3893 279.601624   0.544536
56750.84305 10.819  0.018 W1  5  1.3908 279.601623   0.544543
58207.98168 10.754  0.019 W1  5  1.3934 279.601617   0.544564
57476.57120 10.798  0.019 W1  5  1.3936 279.601615   0.544570
57476.04695 10.823  0.022 W1  5  1.3940 279.601616   0.544568
56750.71139 10.805  0.018 W1  5  1.3943 279.601618   0.544560
58011.45292 10.787  0.017 W1  5  1.3953 279.601626   0.544535
57479.78242 10.803  0.017 W1  5  1.3963 279.601621   0.544554
58207.26183 10.785  0.017 W1  5  1.3973 279.601623   0.544547
56750.31638 10.797  0.019 W1  5  1.4001 279.601610   0.544586
57476.17798 10.790  0.016 W1  5  1.4020 279.601620   0.544561
57112.61321 10.797  0.019 W1  5  1.4090 279.601622   0.544562
56750.31625 10.783  0.018 W1  5  1.4159 279.601626   0.544556
56750.51376 10.794  0.018 W1  5  1.4162 279.601625   0.544558
58575.00509 10.779  0.018 W1  5  1.4177 279.601624   0.544563
57843.54237 10.771  0.021 W1  5  1.4218 279.601624   0.544568
57843.86976 10.814  0.019 W1  5  1.4252 279.601630   0.544550
58939.67882 10.818  0.018 W1  5  1.4296 279.601633   0.544544
56750.44792 10.806  0.018 W1  5  1.4381 279.601633   0.544552
57479.32362 10.773  0.018 W1  5  1.4401 279.601634   0.544554
57843.14953 10.783  0.017 W1  5  1.4420 279.601626   0.544579
57476.89884 10.826  0.019 W1  5  1.4437 279.601639   0.544538
58207.65454 10.770  0.019 W1  5  1.4463 279.601627   0.544578
58938.95949 10.761  0.018 W1  5  1.4584 279.601628   0.544587
55285.92271  9.552  0.023 W2 10  1.1967 279.601556   0.544571
55285.45958  9.564  0.019 W2 10  1.2379 279.601562   0.544585
55292.34016  9.589  0.020 W2 10  1.2965 279.601585   0.544573
55286.31962  9.666  0.015 W2 10  1.3034 279.601547   0.544647
55285.65810  9.587  0.021 W2 10  1.3195 279.601590   0.544578
55285.79041  9.602  0.022 W2 10  1.3345 279.601602   0.544556
55285.85650  9.572  0.017 W2 10  1.3503 279.601587   0.544605
55286.18732  9.582  0.020 W2 10  1.3510 279.601607   0.544556
