index,ra,dec,class,cat
1793,83.815041666,-5.400861111,D,Megeath
1794,83.825125,-5.400833333,D,Megeath
1795,83.791708333,-5.4005,D,Megeath
1796,83.781791666,-5.400166666,D,Megeath
1797,83.721583333,-5.400166666,D,Megeath
1798,83.748166666,-5.400111111,D,Megeath
1799,83.822416666,-5.399972222,D,Megeath
1800,83.75875,-5.399111111,P,Megeath
1801,83.790291666,-5.398833333,D,Megeath
1802,83.874333333,-5.398777777,D,Megeath
1803,83.806583333,-5.398583333,D,Megeath
1804,83.840833333,-5.398277777,D,Megeath
1805,83.854416666,-5.398277777,D,Megeath
1806,83.740625,-5.397833333,D,Megeath
1807,83.809916666,-5.397472222,P,Megeath
1808,83.829333333,-5.397138888,P,Megeath
1809,83.874416666,-5.396805555,D,Megeath
1810,83.801125,-5.396722222,D,Megeath
1811,83.620625,-5.396638888,D,Megeath
1812,83.854375,-5.39625,D,Megeath
1813,83.848583333,-5.396138888,D,Megeath
1814,83.838833333,-5.395916666,D,Megeath
1815,83.814375,-5.395861111,D,Megeath
1816,83.773625,-5.395861111,D,Megeath
1817,83.802458333,-5.3955,D,Megeath
1818,84.249083333,-5.394666666,D,Megeath
1819,83.699708333,-5.394472222,D,Megeath
1820,83.807416666,-5.394444444,P,Megeath
1821,83.805833333,-5.394444444,D,Megeath
1822,83.880166666,-5.394444444,D,Megeath
1823,83.84075,-5.394138888,D,Megeath
1824,83.863666666,-5.393444444,D,Megeath
1825,83.825833333,-5.393333333,D,Megeath
1826,83.710416666,-5.393111111,D,Megeath
1827,83.849208333,-5.392777777,D,Megeath
1828,83.821083333,-5.392777777,D,Megeath
1829,83.809916666,-5.392694444,D,Megeath
1830,83.76425,-5.392416666,D,Megeath
1831,83.489083333,-5.391777777,P,Megeath
1832,83.835125,-5.391638888,D,Megeath
1833,83.812083333,-5.391472222,D,Megeath
1834,83.805833333,-5.391444444,P,Megeath
1835,83.902666666,-5.391138888,D,Megeath
1836,83.829583333,-5.39075,D,Megeath
1837,83.444416666,-5.390388888,D,Megeath
